datestart             datestop              obsid power_cmd  si_mode  pcad_mode vid_board clocking fep_count ccd_count simpos simfa_pos pitch  ra     dec    roll   q1    q2    q3    q4   trans_keys                                      
2009:194:13:37:01.953 2009:194:13:37:05.953 10362 AA00000000 TE_008B4 NMAN      1         0        1         1         75624  -468      61.92  180.77 44.55  268.62 0.27  -0.66 0.65  0.27 clocking,obsid,power_cmd                        
2009:194:13:37:05.953 2009:194:13:37:09.953 10362 AA00000000 TE_008B4 NMAN      1         0        1         1         75624  -468      61.92  180.77 44.55  268.62 0.27  -0.66 0.65  0.27 clocking,power_cmd                              
2009:194:13:37:09.953 2009:194:13:37:33.953 10362 WSPOW00000 TE_008B4 NMAN      1         0        0         0         75624  -468      61.92  180.77 44.55  268.62 0.27  -0.66 0.65  0.27 ccd_count,clocking,fep_count,power_cmd,vid_board
2009:194:13:37:33.953 2009:194:13:38:36.953 10362 WSPOW1EC3F TE_008B4 NMAN      1         0        6         6         75624  -468      61.92  180.77 44.55  268.62 0.27  -0.66 0.65  0.27 ccd_count,clocking,fep_count,power_cmd,vid_board
2009:194:13:38:36.953 2009:194:13:38:40.953 10362 WSPOW1EC3F TE_002A2 NMAN      1         0        6         6         75624  -468      61.92  180.77 44.55  268.62 0.27  -0.66 0.65  0.27 si_mode                                         
2009:194:13:38:40.953 2009:194:13:39:42.793 10362 XTZ0000005 TE_002A2 NMAN      1         1        6         6         75624  -468      61.92  180.77 44.55  268.62 0.27  -0.66 0.65  0.27 clocking,power_cmd                              
2009:194:13:39:42.793 2009:194:13:45:13.382 10362 XTZ0000005 TE_002A2 NMAN      1         1        6         6         75624  -468      73.44  188.40 46.42  263.49 0.31  -0.66 0.63  0.25 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:13:45:13.382 2009:194:13:50:43.970 10362 XTZ0000005 TE_002A2 NMAN      1         1        6         6         75624  -468      91.26  216.73 48.70  243.43 0.45  -0.67 0.57  0.18 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:13:50:43.970 2009:194:13:56:14.559 10362 XTZ0000005 TE_002A2 NMAN      1         1        6         6         75624  -468      102.77 243.99 44.34  224.51 0.58  -0.65 0.48  0.11 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:13:56:14.559 2009:194:16:15:21.953 10362 XTZ0000005 TE_002A2 NPNT      1         1        6         6         75624  -468      105.38 251.04 41.98  219.98 0.61  -0.64 0.46  0.09 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2009:194:16:15:21.953 2009:194:16:15:32.204 10362 AA00000000 TE_002A2 NMAN      1         0        6         6         92904  -468      105.38 251.04 41.98  219.98 0.61  -0.64 0.46  0.09 clocking,pcad_mode,power_cmd,simpos             
2009:194:16:15:32.204 2009:194:16:17:21.129 10362 AA00000000 TE_002A2 NMAN      1         0        6         6         92904  -468      106.14 251.04 41.98  219.98 0.61  -0.64 0.46  0.09 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:16:17:21.129 2009:194:16:18:21.953 10362 AA00000000 TE_002A2 NMAN      1         0        6         6         92904  -536      106.14 251.04 41.98  219.98 0.61  -0.64 0.46  0.09 simfa_pos                                       
2009:194:16:18:21.953 2009:194:16:18:25.953 9910  AA00000000 TE_002A2 NMAN      1         0        6         6         92904  -536      106.14 251.04 41.98  219.98 0.61  -0.64 0.46  0.09 clocking,obsid,power_cmd                        
2009:194:16:18:25.953 2009:194:16:18:29.953 9910  AA00000000 TE_002A2 NMAN      1         0        6         6         92904  -536      106.14 251.04 41.98  219.98 0.61  -0.64 0.46  0.09 clocking,power_cmd                              
2009:194:16:18:29.953 2009:194:16:18:53.953 9910  WSPOW00000 TE_002A2 NMAN      1         0        0         0         92904  -536      106.14 251.04 41.98  219.98 0.61  -0.64 0.46  0.09 ccd_count,clocking,fep_count,power_cmd,vid_board
2009:194:16:18:53.953 2009:194:16:19:56.953 9910  WSPOW00F1E TE_002A2 NMAN      1         0        4         4         92904  -536      106.14 251.04 41.98  219.98 0.61  -0.64 0.46  0.09 ccd_count,clocking,fep_count,power_cmd,vid_board
2009:194:16:19:56.953 2009:194:16:20:00.953 9910  WSPOW00F1E TE_006E6 NMAN      1         0        4         4         92904  -536      106.14 251.04 41.98  219.98 0.61  -0.64 0.46  0.09 si_mode                                         
2009:194:16:20:00.953 2009:194:16:20:14.766 9910  XTZ0000005 TE_006E6 NMAN      1         1        4         4         92904  -536      106.14 251.04 41.98  219.98 0.61  -0.64 0.46  0.09 clocking,power_cmd                              
2009:194:16:20:14.766 2009:194:16:24:57.328 9910  XTZ0000005 TE_006E6 NMAN      1         1        4         4         92904  -536      109.90 255.65 42.65  214.88 0.63  -0.64 0.43  0.10 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:16:24:57.328 2009:194:16:29:39.891 9910  XTZ0000005 TE_006E6 NMAN      1         1        4         4         92904  -536      117.70 272.05 42.53  196.79 0.70  -0.60 0.35  0.15 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:16:29:39.891 2009:194:16:34:22.453 9910  XTZ0000005 TE_006E6 NMAN      1         1        4         4         92904  -536      127.48 293.77 35.71  172.47 0.78  -0.54 0.22  0.22 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:16:34:22.453 2009:194:16:39:05.015 9910  XTZ0000005 TE_006E6 NMAN      1         1        4         4         92904  -536      135.46 308.97 23.28  154.40 0.84  -0.45 0.08  0.28 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:16:39:05.015 2009:194:16:43:47.577 9910  XTZ0000005 TE_006E6 NMAN      1         1        4         4         92904  -536      139.30 315.96 13.21  145.26 0.87  -0.39 -0.01 0.32 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:16:43:47.577 2009:194:19:34:47.327 9910  XTZ0000005 TE_006E6 NPNT      1         1        4         4         92904  -536      140.10 317.61 10.13  142.93 0.87  -0.37 -0.04 0.33 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2009:194:19:34:47.327 2009:194:19:34:57.578 9910  AA00000000 TE_006E6 NMAN      1         0        4         4         75624  -536      140.10 317.61 10.13  142.93 0.87  -0.37 -0.04 0.33 clocking,pcad_mode,power_cmd,simpos             
2009:194:19:34:57.578 2009:194:19:36:46.503 9910  AA00000000 TE_006E6 NMAN      1         0        4         4         75624  -536      140.34 317.61 10.13  142.93 0.87  -0.37 -0.04 0.33 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:19:36:46.503 2009:194:19:37:47.327 9910  AA00000000 TE_006E6 NMAN      1         0        4         4         75624  -418      140.34 317.61 10.13  142.93 0.87  -0.37 -0.04 0.33 simfa_pos                                       
2009:194:19:37:47.327 2009:194:19:37:51.327 10928 AA00000000 TE_006E6 NMAN      1         0        4         4         75624  -418      140.34 317.61 10.13  142.93 0.87  -0.37 -0.04 0.33 clocking,obsid,power_cmd                        
2009:194:19:37:51.327 2009:194:19:37:55.327 10928 AA00000000 TE_006E6 NMAN      1         0        4         4         75624  -418      140.34 317.61 10.13  142.93 0.87  -0.37 -0.04 0.33 clocking,power_cmd                              
2009:194:19:37:55.327 2009:194:19:38:05.263 10928 WSPOW00000 TE_006E6 NMAN      1         0        0         0         75624  -418      140.34 317.61 10.13  142.93 0.87  -0.37 -0.04 0.33 ccd_count,clocking,fep_count,power_cmd,vid_board
2009:194:19:38:05.263 2009:194:19:38:19.327 10928 WSPOW00000 TE_006E6 NMAN      1         0        0         0         75624  -468      140.34 317.61 10.13  142.93 0.87  -0.37 -0.04 0.33 simfa_pos                                       
2009:194:19:38:19.327 2009:194:19:39:22.327 10928 WSPOW1EC3F TE_006E6 NMAN      1         0        6         6         75624  -468      140.34 317.61 10.13  142.93 0.87  -0.37 -0.04 0.33 ccd_count,clocking,fep_count,power_cmd,vid_board
2009:194:19:39:22.327 2009:194:19:39:26.327 10928 WSPOW1EC3F TE_004F2 NMAN      1         0        6         6         75624  -468      140.34 317.61 10.13  142.93 0.87  -0.37 -0.04 0.33 si_mode                                         
