datestart             datestop              dir                 
2010:191:18:30:23.925 2010:192:16:44:13.064 /2010/JUL0510/oflsb/
2010:192:16:44:17.253 2010:194:02:04:19.498 /2010/JUL1210/oflsb/
2010:194:02:50:00.000 2010:195:12:16:02.313 /2010/JUL1210/oflsb/
2010:195:14:48:25.918 2010:196:21:30:01.285 /2010/JUL1210/oflsb/
2010:196:23:00:01.285 2010:198:07:20:27.861 /2010/JUL1210/oflsb/
2010:198:09:40:02.844 2010:199:17:00:02.056 /2010/JUL1210/oflsb/
2010:199:19:39:30.524 2010:200:15:03:25.641 /2010/JUL1210/oflsb/
2010:200:17:00:00.000 2010:202:00:07:01.455 /2010/JUL1910/oflsc/
2010:202:02:05:00.000 2010:203:06:43:59.505 /2010/JUL1910/oflsc/
2010:203:11:45:00.000 2010:204:15:12:31.695 /2010/JUL1910/oflsc/
2010:204:23:00:00.000 2010:206:05:49:02.135 /2010/JUL1910/oflsc/
2010:206:07:51:48.679 2010:207:05:47:19.965 /2010/JUL1910/oflsc/
2010:207:05:44:19.965 2010:208:13:28:22.776 /2010/JUL2610/oflsa/
2010:208:17:30:00.000 2010:209:23:29:57.453 /2010/JUL2610/oflsa/
2010:210:03:45:00.000 2010:211:11:01:27.447 /2010/JUL2610/oflsa/
2010:211:12:06:15.183 2010:212:21:25:02.056 /2010/JUL2610/oflsa/
2010:212:21:51:56.783 2010:213:20:41:46.037 /2010/JUL2610/oflsa/
2010:213:20:56:06.567 2010:215:04:50:02.056 /2010/AUG0210/oflsa/
2010:215:10:03:44.731 2010:216:12:55:02.056 /2010/AUG0210/oflsa/
2010:216:18:36:04.035 2010:217:23:19:00.636 /2010/AUG0210/oflsa/
2010:218:03:45:00.000 2010:219:12:35:02.056 /2010/AUG0210/oflsa/
2010:219:12:36:50.014 2010:220:20:46:16.852 /2010/AUG0210/oflsa/
2010:220:20:46:16.852 2010:222:05:30:40.639 /2010/AUG0810/oflsa/
2010:222:13:10:00.000 2010:223:14:37:18.386 /2010/AUG0810/oflsa/
2010:223:21:45:00.000 2010:225:01:55:01.285 /2010/AUG0810/oflsa/
2010:225:03:25:01.285 2010:226:12:35:01.285 /2010/AUG0810/oflsa/
2010:226:14:05:01.285 2010:227:22:19:58.973 /2010/AUG0810/oflsa/
2010:227:22:16:58.973 2010:229:04:39:07.670 /2010/AUG1610/oflsb/
2010:229:11:16:07.670 2010:230:20:05:02.056 /2010/AUG1610/oflsb/
2010:231:01:40:00.000 2010:232:08:40:18.314 /2010/AUG1610/oflsb/
2010:232:12:00:00.000 2010:233:21:15:01.285 /2010/AUG1610/oflsb/
2010:233:22:45:01.285 2010:235:00:26:20.599 /2010/AUG1610/oflsb/
2010:235:02:30:00.000 2010:236:20:45:02.056 /2010/AUG2310/oflsa/
2010:237:03:45:00.000 2010:238:22:30:02.056 /2010/AUG2310/oflsa/
2010:239:03:45:00.000 2010:240:19:50:02.056 /2010/AUG2310/oflsa/
2010:241:03:45:00.000 2010:242:02:41:47.932 /2010/AUG2310/oflsa/
2010:242:02:38:47.932 2010:243:12:50:02.056 /2010/AUG3010/oflsa/
2010:243:18:45:00.000 2010:244:22:44:35.158 /2010/AUG3010/oflsa/
2010:245:03:15:00.000 2010:246:14:15:02.056 /2010/AUG3010/oflsa/
2010:246:23:00:00.000 2010:247:19:30:02.056 /2010/AUG3010/oflsa/
2010:248:02:38:33.473 2010:249:11:37:47.881 /2010/AUG3010/oflsa/
2010:249:11:34:47.881 2010:250:21:14:01.517 /2010/SEP0610/oflsa/
2010:250:21:55:01.285 2010:252:04:56:00.598 /2010/SEP0610/oflsa/
2010:252:11:00:00.000 2010:253:17:10:01.542 /2010/SEP0610/oflsa/
2010:253:18:00:00.000 2010:255:02:35:01.285 /2010/SEP0610/oflsa/
2010:255:04:05:01.285 2010:256:12:28:59.693 /2010/SEP0610/oflsa/
2010:256:13:39:28.999 2010:257:05:24:32.039 /2010/SEP0610/oflsa/
2010:257:05:21:32.039 2010:258:17:14:53.978 /2010/SEP1310/oflsa/
2010:258:17:55:36.166 2010:260:05:15:02.056 /2010/SEP1310/oflsa/
2010:260:10:46:23.050 2010:261:12:35:02.056 /2010/SEP1310/oflsa/
2010:261:18:25:00.877 2010:263:00:47:10.303 /2010/SEP1310/oflsa/
2010:263:00:44:10.303 2010:263:23:51:16.145 /2010/SEP2010/oflsa/
2010:264:00:24:23.764 2010:265:00:05:02.056 /2010/SEP2010/oflsa/
2010:265:02:41:55.252 2010:267:11:35:01.285 /2010/SEP2010/oflsa/
2010:267:13:05:01.285 2010:268:11:49:38.463 /2010/SEP2010/oflsa/
2010:268:12:03:17.463 2010:268:21:58:03.214 /2010/SEP2010/oflsa/
2010:269:03:10:00.000 2010:270:04:15:21.884 /2010/SEP2010/oflsa/
2010:270:04:12:21.884 2010:271:15:21:19.285 /2010/SEP2710/oflsb/
2010:271:19:50:00.000 2010:273:08:07:42.241 /2010/SEP2710/oflsb/
2010:273:11:00:00.000 2010:274:22:15:01.285 /2010/SEP2710/oflsb/
2010:274:22:30:00.000 2010:276:09:58:11.417 /2010/SEP2710/oflsb/
2010:276:09:55:11.417 2010:277:17:56:01.840 /2010/OCT0410/oflsa/
2010:277:20:10:00.000 2010:279:05:48:00.991 /2010/OCT0410/oflsa/
2010:279:11:00:00.000 2010:280:12:30:02.056 /2010/OCT0410/oflsa/
2010:280:18:35:00.000 2010:281:21:00:02.056 /2010/OCT0410/oflsa/
2010:282:03:45:00.000 2010:283:11:39:58.410 /2010/OCT0410/oflsa/
2010:283:12:22:25.053 2010:284:02:53:34.456 /2010/OCT0410/oflsa/
2010:284:02:50:34.456 2010:285:11:00:01.542 /2010/OCT1110/oflsb/
2010:285:12:51:55.380 2010:286:22:10:02.056 /2010/OCT1110/oflsb/
2010:287:02:40:00.000 2010:288:07:30:02.313 /2010/OCT1110/oflsb/
2010:288:11:00:00.000 2010:289:13:15:02.056 /2010/OCT1110/oflsb/
2010:289:18:55:00.000 2010:290:13:09:29.639 /2010/OCT1110/oflsb/
2010:290:13:09:00.000 2010:291:20:25:02.056 /2010/OCT1810/oflsa/
2010:292:02:00:00.000 2010:292:07:26:43.000 /2010/OCT1810/oflsa/
2010:292:07:26:43.000 2010:294:12:30:02.056 /2010/OCT1910/oflsa/
2010:294:19:45:00.000 2010:296:03:11:13.482 /2010/OCT1910/oflsa/
2010:296:05:12:48.495 2010:297:22:44:53.695 /2010/OCT1910/oflsa/
2010:297:22:41:53.695 2010:299:07:32:08.212 /2010/OCT2510/oflsb/
2010:299:11:55:00.000 2010:300:14:51:32.353 /2010/OCT2510/oflsb/
2010:300:23:30:00.000 2010:302:03:30:02.056 /2010/OCT2510/oflsb/
2010:302:11:00:00.000 2010:303:18:25:47.578 /2010/OCT2510/oflsb/
2010:303:18:27:00.000 2010:305:03:45:01.285 /2010/NOV0110/oflsa/
2010:305:05:15:01.285 2010:306:13:55:01.542 /2010/NOV0110/oflsa/
2010:306:14:19:52.329 2010:307:23:39:35.693 /2010/NOV0110/oflsa/
2010:308:01:49:55.693 2010:309:09:30:29.290 /2010/NOV0110/oflsa/
2010:309:10:36:12.367 2010:310:20:15:01.285 /2010/NOV0110/oflsa/
2010:310:21:45:01.285 2010:311:16:45:09.969 /2010/NOV0110/oflsa/
2010:311:16:44:00.000 2010:313:04:20:02.056 /2010/NOV0810/oflsc/
2010:313:06:46:50.559 2010:314:15:49:34.380 /2010/NOV0810/oflsc/
2010:314:18:10:17.169 2010:316:03:45:01.285 /2010/NOV0810/oflsc/
2010:316:05:15:01.285 2010:317:14:53:21.804 /2010/NOV0810/oflsc/
2010:317:23:10:00.000 2010:319:02:31:51.198 /2010/NOV0810/oflsc/
2010:319:02:28:51.198 2010:320:11:35:01.285 /2010/NOV1510/oflsb/
2010:320:12:48:02.221 2010:321:20:45:02.056 /2010/NOV1510/oflsb/
2010:322:02:50:00.000 2010:323:04:00:02.056 /2010/NOV1510/oflsb/
2010:323:13:00:00.000 2010:324:16:24:16.539 /2010/NOV1510/oflsb/
2010:324:19:17:06.418 2010:326:01:13:15.822 /2010/NOV1510/oflsb/
2010:326:01:13:15.822 2010:327:10:43:59.626 /2010/NOV2210/oflsa/
2010:327:11:40:00.000 2010:328:19:35:02.056 /2010/NOV2210/oflsa/
2010:329:03:45:00.000 2010:330:06:26:01.866 /2010/NOV2210/oflsa/
2010:330:09:15:00.000 2010:331:13:55:02.056 /2010/NOV2210/oflsa/
2010:331:18:18:17.499 2010:332:20:27:22.957 /2010/NOV2210/oflsa/
2010:332:20:27:00.000 2010:334:04:10:02.056 /2010/NOV2910/oflsa/
2010:334:08:58:29.934 2010:335:15:35:44.832 /2010/NOV2910/oflsa/
2010:335:18:00:00.000 2010:336:21:55:02.056 /2010/NOV2910/oflsa/
2010:337:03:45:00.000 2010:338:11:00:01.285 /2010/NOV2910/oflsa/
2010:338:12:30:01.285 2010:340:02:26:55.457 /2010/NOV2910/oflsa/
2010:340:02:23:55.457 2010:341:11:00:01.285 /2010/DEC0610/oflsa/
2010:341:12:30:01.285 2010:342:22:15:02.056 /2010/DEC0610/oflsa/
2010:343:02:45:00.000 2010:344:05:15:02.056 /2010/DEC0610/oflsa/
2010:344:13:20:00.000 2010:345:14:30:02.056 /2010/DEC0610/oflsa/
2010:345:19:30:00.000 2010:346:22:09:35.181 /2010/DEC0610/oflsa/
2010:346:22:06:35.181 2010:348:04:45:02.056 /2010/DEC1310/oflsa/
2010:348:12:45:00.000 2010:349:14:24:01.409 /2010/DEC1310/oflsa/
2010:349:20:10:00.000 2010:351:03:05:01.285 /2010/DEC1310/oflsa/
2010:351:04:35:01.285 2010:352:12:40:02.056 /2010/DEC1310/oflsa/
2010:352:18:35:00.000 2010:354:00:07:05.030 /2010/DEC1310/oflsa/
2010:354:00:05:00.000 2010:355:04:30:02.056 /2010/DEC2010/oflsa/
2010:355:11:10:00.000 2010:356:18:51:51.668 /2010/DEC2010/oflsa/
2010:356:19:47:43.433 2010:358:04:25:02.056 /2010/DEC2210/oflsb/
2010:358:11:55:00.000 2010:359:14:35:57.205 /2010/DEC2210/oflsb/
2010:359:16:08:48.997 2010:360:21:34:50.101 /2010/DEC2210/oflsb/
2010:361:03:45:00.000 2010:362:08:12:18.139 /2010/DEC2210/oflsb/
2010:362:12:10:00.000 2010:363:19:45:02.056 /2010/DEC2210/oflsb/
2010:364:03:05:00.000 2010:365:04:35:02.056 /2010/DEC2210/oflsb/
2010:365:11:10:00.000 2011:001:14:21:42.635 /2010/DEC2210/oflsb/
2011:001:20:45:00.000 2011:003:03:45:01.285 /2010/DEC2210/oflsb/
2011:003:05:15:01.285 2011:004:13:30:02.056 /2010/DEC2210/oflsb/
2011:004:18:10:03.848 2011:005:22:00:02.056 /2010/DEC2210/oflsb/
2011:006:03:45:00.000 2011:007:09:40:14.525 /2010/DEC2210/oflsb/
2011:007:10:53:32.237 2011:008:18:55:01.285 /2010/DEC2210/oflsb/
2011:008:20:25:01.285 2011:010:03:57:35.939 /2010/DEC2210/oflsb/
