ccd_count clocking datestart             datestop              dec    dither fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1    q2    q3    q4   ra     roll   si_mode  simfa_pos simpos trans_keys                                       vid_board
6         1        2010:277:04:53:10.840 2010:277:04:53:21.091 25.32  None   6         RETR RETR 55996 NMAN      77.95  XTZ0000005 0.47  0.44  0.71  0.28 115.49 79.25  TE_0021C -991      -99616 obsid,pcad_mode                                  1        
6         1        2010:277:04:53:21.091 2010:277:04:58:26.781 25.32  None   6         RETR RETR 55996 NMAN      80.33  XTZ0000005 0.47  0.44  0.71  0.28 115.49 79.25  TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2010:277:04:58:26.781 2010:277:05:03:32.471 25.77  None   6         RETR RETR 55996 NMAN      90.87  XTZ0000005 0.50  0.42  0.69  0.30 110.23 81.29  TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2010:277:05:03:32.471 2010:277:05:08:38.162 25.98  None   6         RETR RETR 55996 NMAN      110.45 XTZ0000005 0.59  0.38  0.61  0.37 92.04  88.52  TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2010:277:05:08:38.162 2010:277:05:13:43.852 22.92  None   6         RETR RETR 55996 NMAN      133.29 XTZ0000005 0.69  0.30  0.48  0.45 67.11  97.89  TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2010:277:05:13:43.852 2010:277:05:18:49.542 16.63  None   6         RETR RETR 55996 NMAN      152.88 XTZ0000005 0.76  0.21  0.33  0.52 43.72  104.83 TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2010:277:05:18:49.542 2010:277:05:23:55.232 10.82  None   6         RETR RETR 55996 NMAN      163.43 XTZ0000005 0.79  0.14  0.22  0.55 27.97  107.82 TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2010:277:05:23:55.232 2010:277:07:32:20.840 9.00   None   6         RETR RETR 55996 NPNT      165.81 XTZ0000005 0.80  0.12  0.18  0.56 23.50  108.37 TE_0021C -991      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
6         0        2010:277:07:32:20.840 2010:277:07:35:20.840 9.00   None   6         RETR RETR 55996 NPNT      165.81 AA00000000 0.80  0.12  0.18  0.56 23.50  108.37 TE_0021C -991      -99616 clocking,power_cmd                               1        
6         0        2010:277:07:35:20.840 2010:277:07:35:29.840 9.00   None   6         RETR RETR 55996 NPNT      165.81 AA00000000 0.80  0.12  0.18  0.56 23.50  108.37 TE_0021C -991      -99616 clocking,power_cmd                               1        
6         0        2010:277:07:35:29.840 2010:277:10:12:22.857 9.00   None   6         RETR RETR 55996 NPNT      165.81 WSVIDALLDN 0.80  0.12  0.18  0.56 23.50  108.37 TE_0021C -991      -99616 power_cmd,vid_board                              0        
6         0        2010:277:10:12:22.857 2010:277:10:12:33.108 9.00   None   6         RETR RETR 55995 NMAN      165.81 WSVIDALLDN 0.80  0.12  0.18  0.56 23.50  108.37 TE_0021C -991      -99616 obsid,pcad_mode                                  0        
6         0        2010:277:10:12:33.108 2010:277:10:18:01.093 9.00   None   6         RETR RETR 55995 NMAN      165.42 WSVIDALLDN 0.80  0.12  0.18  0.56 23.50  108.37 TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2010:277:10:18:01.093 2010:277:10:23:29.078 11.09  None   6         RETR RETR 55995 NMAN      162.77 WSVIDALLDN 0.83  0.12  0.19  0.52 23.92  113.44 TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2010:277:10:23:29.078 2010:277:10:28:57.063 18.30  None   6         RETR RETR 55995 NMAN      158.63 WSVIDALLDN 0.89  0.12  0.23  0.37 23.89  130.89 TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2010:277:10:28:57.063 2010:277:10:34:25.048 25.15  None   6         RETR RETR 55995 NMAN      156.00 WSVIDALLDN 0.94  0.12  0.25  0.22 21.49  149.23 TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2010:277:10:34:25.048 2010:277:10:55:25.848 27.00  None   6         RETR RETR 55995 NPNT      155.42 WSVIDALLDN 0.94  0.12  0.26  0.17 20.30  154.89 TE_0021C -991      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          0        
6         0        2010:277:10:55:25.848 2010:277:10:55:36.099 27.00  None   6         RETR RETR 55994 NMAN      155.42 WSVIDALLDN 0.94  0.12  0.26  0.17 20.30  154.89 TE_0021C -991      -99616 obsid,pcad_mode                                  0        
