datestart             datestop              obsid power_cmd  si_mode  pcad_mode vid_board clocking fep_count ccd_count simpos simfa_pos pitch  ra     dec    roll   q1    q2    q3    q4   trans_keys                                      
2003:301:01:57:25.791 2003:301:02:01:55.540 60498 WSPOW00000 TE_00452 NPNT      1         0        0         0         -99616 -716      149.09 56.00  -6.70  50.73  0.35  0.25  0.40  0.81 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2003:301:02:01:55.540 2003:301:02:02:05.791 60498 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      149.09 56.00  -6.70  50.73  0.35  0.25  0.40  0.81 pcad_mode                                       
2003:301:02:02:05.791 2003:301:02:04:55.540 60498 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      149.10 56.00  -6.70  50.73  0.35  0.25  0.40  0.81 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:301:02:04:55.540 2003:301:02:06:51.699 60497 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      149.10 56.00  -6.70  50.73  0.35  0.25  0.40  0.81 obsid                                           
2003:301:02:06:51.699 2003:301:02:11:37.607 60497 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      149.16 57.25  -5.06  54.42  0.38  0.25  0.41  0.79 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:301:02:11:37.607 2003:301:02:16:23.514 60497 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      149.31 60.71  1.16   66.90  0.48  0.27  0.43  0.72 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:301:02:16:23.514 2003:301:02:21:09.422 60497 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      149.57 63.25  11.42  85.04  0.61  0.29  0.44  0.59 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:301:02:21:09.422 2003:301:02:25:55.330 60497 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      149.90 62.33  22.06  103.93 0.72  0.30  0.44  0.44 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:301:02:25:55.330 2003:301:02:30:41.238 60497 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      150.23 57.35  31.77  124.81 0.81  0.30  0.43  0.27 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:301:02:30:41.238 2003:301:02:35:27.146 60497 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      150.53 47.75  39.06  149.02 0.87  0.29  0.40  0.10 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:301:02:35:27.146 2003:301:02:40:13.053 60497 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      150.76 34.29  42.20  176.43 -0.89 -0.26 -0.35 0.08 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:301:02:40:13.053 2003:301:02:44:58.961 60497 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      150.87 20.46  40.28  204.00 -0.89 -0.23 -0.30 0.25 dec,pitch,q1,q2,q3,q4,ra,roll                   
