datestart             datestop              obsid power_cmd  si_mode  pcad_mode vid_board clocking fep_count ccd_count simpos simfa_pos pitch  ra     dec    roll   q1    q2    q3    q4   trans_keys                                      
2010:131:12:51:03.131 2010:131:12:52:52.056 11519 AA00000000 TE_008FC NMAN      1         0        1         1         92904  -468      129.77 187.71 12.41  233.56 0.11  -0.88 0.45  0.07 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:12:52:52.056 2010:131:12:53:52.880 11519 AA00000000 TE_008FC NMAN      1         0        1         1         92904  -536      129.77 187.71 12.41  233.56 0.11  -0.88 0.45  0.07 simfa_pos                                       
2010:131:12:53:52.880 2010:131:12:53:56.880 11304 AA00000000 TE_008FC NMAN      1         0        1         1         92904  -536      129.77 187.71 12.41  233.56 0.11  -0.88 0.45  0.07 clocking,obsid,power_cmd                        
2010:131:12:53:56.880 2010:131:12:54:00.880 11304 AA00000000 TE_008FC NMAN      1         0        1         1         92904  -536      129.77 187.71 12.41  233.56 0.11  -0.88 0.45  0.07 clocking,power_cmd                              
2010:131:12:54:00.880 2010:131:12:54:24.880 11304 WSPOW00000 TE_008FC NMAN      1         0        0         0         92904  -536      129.77 187.71 12.41  233.56 0.11  -0.88 0.45  0.07 ccd_count,clocking,fep_count,power_cmd,vid_board
2010:131:12:54:24.880 2010:131:12:55:27.880 11304 WSPOW00F1E TE_008FC NMAN      1         0        4         4         92904  -536      129.77 187.71 12.41  233.56 0.11  -0.88 0.45  0.07 ccd_count,clocking,fep_count,power_cmd,vid_board
2010:131:12:55:27.880 2010:131:12:55:31.880 11304 WSPOW00F1E TE_006E6 NMAN      1         0        4         4         92904  -536      129.77 187.71 12.41  233.56 0.11  -0.88 0.45  0.07 si_mode                                         
2010:131:12:55:31.880 2010:131:12:55:55.939 11304 XTZ0000005 TE_006E6 NMAN      1         1        4         4         92904  -536      129.77 187.71 12.41  233.56 0.11  -0.88 0.45  0.07 clocking,power_cmd                              
2010:131:12:55:55.939 2010:131:13:00:48.748 11304 XTZ0000005 TE_006E6 NMAN      1         1        4         4         92904  -536      129.99 189.68 14.79  230.02 0.13  -0.89 0.43  0.08 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:13:00:48.748 2010:131:13:05:41.556 11304 XTZ0000005 TE_006E6 NMAN      1         1        4         4         92904  -536      130.75 197.83 21.96  216.79 0.20  -0.91 0.33  0.13 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:13:05:41.556 2010:131:13:10:34.364 11304 XTZ0000005 TE_006E6 NMAN      1         1        4         4         92904  -536      132.15 213.18 28.50  194.63 0.30  -0.91 0.19  0.20 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:13:10:34.364 2010:131:13:15:27.173 11304 XTZ0000005 TE_006E6 NMAN      1         1        4         4         92904  -536      133.99 230.78 29.02  170.43 0.39  -0.88 0.03  0.26 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:13:15:27.173 2010:131:13:20:19.981 11304 XTZ0000005 TE_006E6 NMAN      1         1        4         4         92904  -536      136.03 246.77 23.30  147.66 0.47  -0.82 -0.12 0.31 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:13:20:19.981 2010:131:13:25:12.789 11304 XTZ0000005 TE_006E6 NMAN      1         1        4         4         92904  -536      137.98 258.69 12.80  128.27 0.53  -0.72 -0.27 0.35 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:13:25:12.789 2010:131:13:30:05.598 11304 XTZ0000005 TE_006E6 NMAN      1         1        4         4         92904  -536      139.54 266.28 -0.66  111.78 0.57  -0.60 -0.41 0.38 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:13:30:05.598 2010:131:13:34:58.406 11304 XTZ0000005 TE_006E6 NMAN      1         1        4         4         92904  -536      140.40 269.92 -15.56 96.72  0.59  -0.46 -0.54 0.39 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:13:34:58.406 2010:131:13:39:51.214 11304 XTZ0000005 TE_006E6 NMAN      1         1        4         4         92904  -536      140.65 270.07 -26.10 86.12  0.59  -0.35 -0.61 0.39 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:13:39:51.214 2010:131:19:16:19.147 11304 XTZ0000005 TE_006E6 NPNT      1         1        4         4         92904  -536      140.67 269.70 -29.14 82.88  0.59  -0.32 -0.63 0.39 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2010:131:19:16:19.147 2010:131:19:18:29.608 11304 AA00000000 TE_006E6 NMAN      1         0        4         4         -99616 -536      140.67 269.70 -29.14 82.88  0.59  -0.32 -0.63 0.39 clocking,pcad_mode,power_cmd,simpos             
2010:131:19:18:29.608 2010:131:19:19:19.147 11304 AA00000000 TE_006E6 NMAN      1         0        4         4         -99616 -536      140.90 269.70 -29.14 82.88  0.59  -0.32 -0.63 0.39 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:19:19:19.147 2010:131:19:22:19.357 56270 AA00000000 TE_006E6 NMAN      1         0        4         4         -99616 -536      140.90 269.70 -29.14 82.88  0.59  -0.32 -0.63 0.39 obsid                                           
2010:131:19:22:19.357 2010:131:19:22:23.357 56270 AA00000000 TE_006E6 NMAN      1         0        4         4         -99616 -536      140.90 269.70 -29.14 82.88  0.59  -0.32 -0.63 0.39 clocking,power_cmd                              
2010:131:19:22:23.357 2010:131:19:22:27.357 56270 AA00000000 TE_006E6 NMAN      1         0        4         4         -99616 -536      140.90 269.70 -29.14 82.88  0.59  -0.32 -0.63 0.39 clocking,power_cmd                              
2010:131:19:22:27.357 2010:131:19:22:29.608 56270 WSPOW00000 TE_006E6 NMAN      1         0        0         0         -99616 -536      140.90 269.70 -29.14 82.88  0.59  -0.32 -0.63 0.39 ccd_count,clocking,fep_count,power_cmd,vid_board
2010:131:19:22:29.608 2010:131:19:22:51.357 56270 WSPOW00000 TE_006E6 NPNT      1         0        0         0         -99616 -536      140.90 269.70 -29.15 82.88  0.59  -0.32 -0.63 0.39 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2010:131:19:22:51.357 2010:131:19:23:54.357 56270 WSPOW3F03F TE_006E6 NPNT      1         0        6         6         -99616 -536      140.90 269.70 -29.15 82.88  0.59  -0.32 -0.63 0.39 ccd_count,clocking,fep_count,power_cmd,vid_board
2010:131:19:23:54.357 2010:131:19:23:58.357 56270 WSPOW3F03F TE_0021C NPNT      1         0        6         6         -99616 -536      140.90 269.70 -29.15 82.88  0.59  -0.32 -0.63 0.39 si_mode                                         
2010:131:19:23:58.357 2010:131:19:26:49.357 56270 XTZ0000005 TE_0021C NPNT      1         1        6         6         -99616 -536      140.90 269.70 -29.15 82.88  0.59  -0.32 -0.63 0.39 clocking,power_cmd                              
2010:131:19:26:49.357 2010:131:19:26:59.608 56269 XTZ0000005 TE_0021C NMAN      1         1        6         6         -99616 -536      140.90 269.70 -29.15 82.88  0.59  -0.32 -0.63 0.39 obsid,pcad_mode                                 
2010:131:19:26:59.608 2010:131:19:32:49.925 56269 XTZ0000005 TE_0021C NMAN      1         1        6         6         -99616 -536      144.08 269.70 -29.14 82.88  0.59  -0.32 -0.63 0.39 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:19:32:49.925 2010:131:19:38:40.241 56269 XTZ0000005 TE_0021C NMAN      1         1        6         6         -99616 -536      150.44 262.53 -28.27 79.22  0.55  -0.34 -0.66 0.38 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:19:38:40.241 2010:131:20:30:13.395 56269 XTZ0000005 TE_0021C NPNT      1         1        6         6         -99616 -536      153.61 255.50 -27.00 75.75  0.51  -0.36 -0.69 0.36 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2010:131:20:30:13.395 2010:131:20:30:23.646 56268 XTZ0000005 TE_0021C NMAN      1         1        6         6         -99616 -536      153.61 255.50 -27.00 75.75  0.51  -0.36 -0.69 0.36 obsid,pcad_mode                                 
2010:131:20:30:23.646 2010:131:20:35:08.632 56268 XTZ0000005 TE_0021C NMAN      1         1        6         6         -99616 -536      153.67 255.50 -27.00 75.75  0.51  -0.36 -0.69 0.36 dec,pitch,q1,q2,q3,q4,ra,roll                   
