datestart             datestop              obsid power_cmd  si_mode  pcad_mode vid_board clocking fep_count ccd_count simpos simfa_pos hetg letg pitch  ra     dec    roll   q1    q2    q3    q4   trans_keys                                      
2008:042:02:21:09.434 2008:042:02:22:12.434 9400  WSPOW0EC3E TE_002A4 NMAN      1         0        5         5         75624  -468      RETR RETR 138.24 112.36 -13.15 310.26 -0.32 -0.29 0.78  0.46 ccd_count,clocking,fep_count,power_cmd,vid_board
2008:042:02:22:12.434 2008:042:02:22:16.434 9400  WSPOW0EC3E TE_0046E NMAN      1         0        5         5         75624  -468      RETR RETR 138.24 112.36 -13.15 310.26 -0.32 -0.29 0.78  0.46 si_mode                                         
2008:042:02:22:16.434 2008:042:02:22:54.962 9400  XTZ0000005 TE_0046E NMAN      1         1        5         5         75624  -468      RETR RETR 138.24 112.36 -13.15 310.26 -0.32 -0.29 0.78  0.46 clocking,power_cmd                              
2008:042:02:22:54.962 2008:042:02:28:02.239 9400  XTZ0000005 TE_0046E NMAN      1         1        5         5         75624  -468      RETR RETR 138.03 114.54 -15.63 314.36 -0.31 -0.26 0.80  0.45 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:042:02:28:02.239 2008:042:02:33:09.517 9400  XTZ0000005 TE_0046E NMAN      1         1        5         5         75624  -468      RETR RETR 137.61 123.62 -22.79 329.59 -0.29 -0.14 0.86  0.40 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:042:02:33:09.517 2008:042:02:38:16.794 9400  XTZ0000005 TE_0046E NMAN      1         1        5         5         75624  -468      RETR RETR 137.18 139.71 -28.17 353.60 -0.25 0.03  0.91  0.32 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:042:02:38:16.794 2008:042:02:43:24.071 9400  XTZ0000005 TE_0046E NMAN      1         1        5         5         75624  -468      RETR RETR 136.95 152.37 -27.99 11.82  -0.21 0.15  0.93  0.25 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:042:02:43:24.071 2008:042:13:04:23.820 9400  XTZ0000005 TE_0046E NPNT      1         1        5         5         75624  -468      RETR RETR 136.91 155.96 -27.27 17.04  -0.20 0.19  0.93  0.23 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2008:042:13:04:23.820 2008:042:13:04:34.071 9400  AA00000000 TE_0046E NMAN      1         0        5         5         75624  -468      RETR RETR 136.91 155.96 -27.27 17.04  -0.20 0.19  0.93  0.23 clocking,pcad_mode,power_cmd                    
2008:042:13:04:34.071 2008:042:13:07:23.820 9400  AA00000000 TE_0046E NMAN      1         0        5         5         75624  -468      RETR RETR 137.20 155.96 -27.27 17.04  -0.20 0.19  0.93  0.23 dec,pitch,q1,q2,q3,q4,ra,roll                   
