ccd_count clocking datestart             datestop              dec    dither fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1    q2    q3    q4   ra     roll   si_mode  simfa_pos simpos trans_keys                                       vid_board
5         0        2009:151:04:48:04.882 2009:151:04:49:07.882 14.71  None   5         RETR RETR 10142 NMAN      75.28  WSPOW1E83E 0.80  -0.14 0.06  0.58 351.14 108.76 TE_002A2 -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
5         0        2009:151:04:49:07.882 2009:151:04:49:11.882 14.71  None   5         RETR RETR 10142 NMAN      75.28  WSPOW1E83E 0.80  -0.14 0.06  0.58 351.14 108.76 TE_004DA -468      75624  si_mode                                          1        
5         1        2009:151:04:49:11.882 2009:151:04:49:58.317 14.71  None   5         RETR RETR 10142 NMAN      75.28  XTZ0000005 0.80  -0.14 0.06  0.58 351.14 108.76 TE_004DA -468      75624  clocking,power_cmd                               1        
5         1        2009:151:04:49:58.317 2009:151:04:55:13.501 12.00  None   5         RETR RETR 10142 NMAN      84.57  XTZ0000005 0.80  -0.15 0.02  0.58 346.80 108.84 TE_004DA -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         1        2009:151:04:55:13.501 2009:151:05:00:28.685 4.51   None   5         RETR RETR 10142 NMAN      93.90  XTZ0000005 0.78  -0.20 -0.10 0.58 334.89 107.98 TE_004DA -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         1        2009:151:05:00:28.685 2009:151:05:44:48.882 1.88   None   5         RETR RETR 10142 NPNT      96.37  XTZ0000005 0.78  -0.21 -0.14 0.58 330.61 107.30 TE_004DA -468      75624  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
5         0        2009:151:05:44:48.882 2009:151:05:44:59.133 1.88   None   5         RETR RETR 10142 NMAN      96.37  AA00000000 0.78  -0.21 -0.14 0.58 330.61 107.30 TE_004DA -468      75624  clocking,pcad_mode,power_cmd                     1        
5         0        2009:151:05:44:59.133 2009:151:05:47:48.882 1.88   None   5         RETR RETR 10142 NMAN      98.45  AA00000000 0.78  -0.21 -0.14 0.58 330.61 107.30 TE_004DA -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         0        2009:151:05:47:48.882 2009:151:05:48:23.221 1.88   None   5         RETR RETR 9948  NMAN      98.45  AA00000000 0.78  -0.21 -0.14 0.58 330.61 107.30 TE_004DA -468      75624  obsid                                            1        
5         0        2009:151:05:48:23.221 2009:151:05:49:51.074 1.88   None   5         INSR RETR 9948  NMAN      98.45  AA00000000 0.78  -0.21 -0.14 0.58 330.61 107.30 TE_004DA -468      75624  hetg                                             1        
5         0        2009:151:05:49:51.074 2009:151:05:52:39.482 0.98   None   5         INSR RETR 9948  NMAN      107.61 AA00000000 0.78  -0.24 -0.16 0.56 326.55 108.54 TE_004DA -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         0        2009:151:05:52:39.482 2009:151:05:52:43.482 0.98   None   5         INSR RETR 9948  NMAN      107.61 AA00000000 0.78  -0.24 -0.16 0.56 326.55 108.54 TE_004DA -468      75624  clocking,power_cmd                               1        
5         0        2009:151:05:52:43.482 2009:151:05:52:47.482 0.98   None   5         INSR RETR 9948  NMAN      107.61 AA00000000 0.78  -0.24 -0.16 0.56 326.55 108.54 TE_004DA -468      75624  clocking,power_cmd                               1        
0         0        2009:151:05:52:47.482 2009:151:05:53:11.482 0.98   None   0         INSR RETR 9948  NMAN      107.61 WSPOW00000 0.78  -0.24 -0.16 0.56 326.55 108.54 TE_004DA -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2009:151:05:53:11.482 2009:151:05:54:14.482 0.98   None   6         INSR RETR 9948  NMAN      107.61 WSPOW3F03F 0.78  -0.24 -0.16 0.56 326.55 108.54 TE_004DA -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2009:151:05:54:14.482 2009:151:05:54:18.482 0.98   None   6         INSR RETR 9948  NMAN      107.61 WSPOW3F03F 0.78  -0.24 -0.16 0.56 326.55 108.54 TE_00872 -468      75624  si_mode                                          1        
6         1        2009:151:05:54:18.482 2009:151:05:54:43.015 0.98   None   6         INSR RETR 9948  NMAN      107.61 XTZ0000005 0.78  -0.24 -0.16 0.56 326.55 108.54 TE_00872 -468      75624  clocking,power_cmd                               1        
6         1        2009:151:05:54:43.015 2009:151:05:59:34.956 -2.76  None   6         INSR RETR 9948  NMAN      125.12 XTZ0000005 0.77  -0.32 -0.24 0.50 312.68 112.26 TE_00872 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:151:05:59:34.956 2009:151:06:04:26.897 -9.49  None   6         INSR RETR 9948  NMAN      142.69 XTZ0000005 0.73  -0.43 -0.35 0.40 292.86 115.88 TE_00872 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:151:06:04:26.897 2009:151:06:09:18.838 -14.66 None   6         INSR RETR 9948  NMAN      151.95 XTZ0000005 0.69  -0.50 -0.42 0.32 279.15 116.94 TE_00872 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:151:06:09:18.838 2009:151:06:52:13.816 -16.19 None   6         INSR RETR 9948  NPNT      154.02 XTZ0000005 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      75624  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
6         1        2009:151:06:52:13.816 2009:151:09:38:53.816 -16.19 None   6         INSR RETR 9948  NPNT      154.05 XTZ0000005 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      75624  pitch                                            1        
6         1        2009:151:09:38:53.816 2009:151:12:25:33.816 -16.19 None   6         INSR RETR 9948  NPNT      154.15 XTZ0000005 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      75624  pitch                                            1        
6         1        2009:151:12:25:33.816 2009:151:15:12:13.816 -16.19 None   6         INSR RETR 9948  NPNT      154.26 XTZ0000005 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      75624  pitch                                            1        
6         1        2009:151:15:12:13.816 2009:151:17:58:53.816 -16.19 None   6         INSR RETR 9948  NPNT      154.37 XTZ0000005 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      75624  pitch                                            1        
6         1        2009:151:17:58:53.816 2009:151:20:45:33.816 -16.19 None   6         INSR RETR 9948  NPNT      154.47 XTZ0000005 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      75624  pitch                                            1        
6         1        2009:151:20:45:33.816 2009:151:23:32:13.816 -16.19 None   6         INSR RETR 9948  NPNT      154.58 XTZ0000005 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      75624  pitch                                            1        
6         1        2009:151:23:32:13.816 2009:152:02:18:53.816 -16.19 None   6         INSR RETR 9948  NPNT      154.68 XTZ0000005 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      75624  pitch                                            1        
